Riddle,Answer
What number becomes zero when you subtract 15 from half of it?,30
I am a number. Multiply me by 4 and subtract 6. You get 18. What number am I?,6
"Im a two-digit number. My tens digit is double my ones digit. If you reverse me, you get 36. What number am I?",63
What number am I if Im less than 50 and divisible by both 5 and 6?,30
"I am a number. Subtract me from 100, and you get 64. What number am I?",36
Add me to myself and multiply by 4. You get 72. What number am I?,9
Im a number. Divide me by 2 and add 10. You get 25. What number am I?,30
My value is three times the sum of its digits. What number am I?,27
"I am a number. When you subtract 1/2 of me from me, you get 20. What number am I?",40
What number divided by 3 equals 7?,21
I am a number. Multiply me by 8 and add 12. You get 100. What number am I?,11
What is the smallest number that is divisible by both 3 and 4 and greater than 10?,12
"If you multiply me by 5 and subtract 10, you get 40. What number am I?",10
A number is twice the sum of its digits. What number is it?,18
"I am a number. If you subtract 10 from me, you get twice 15. What number am I?",40
I am a three-digit number. My tens digit is 5 more than my ones digit. My hundreds digit is 8 less than my tens digit. What number am I?,194
"If you multiply me by 3 and add 15, you get 60. What number am I?",15
A number minus 5 is equal to 10. What is the number?,15
What number gives you 48 when multiplied by 6?,8
"I am a number. If you add me to 25, you get 60. What number am I?",35
I am a number between 40 and 50. My digits add up to 9. What number am I?,45
"I am a number. If you subtract 5 from me and divide by 3, you get 10. What number am I?",35
"I am a number. If you multiply me by 7 and subtract 4, you get 24. What number am I?",4
What number when divided by 4 gives 5?,20
"I am a number. If you subtract 20 from me, you get 45. What number am I?",65
What number is equal to the product of its digits multiplied by 3?,27
"I am a number. Multiply me by 2, subtract 3, and you get 7. What number am I?",5
"If you divide me by 9, you get 3. What number am I?",27
"I am a number. If you multiply me by 5 and add 10, you get 60. What number am I?",10
What number am I? I am half of 50.,25
